PIT,4,61,58,55,60,72,61,69,70,79,68,67,65,53,68,66,70,67
PIT,5,267,243,308,297,364,270,341,302,379,351,323,351,329,325,350,351,333
PIT,6,15,9,11,12,11,10,12,10,11,13,10,9,9,9,11,9,9
PIT,7,4.4,4.2,5.6,5,5.1,4.4,4.9,4.3,4.8,5.2,4.8,5.4,6.2,4.8,5.3,5,5
PIT,8,192,152,204,178,310,193,246,158,162,249,151,197,264,169,244,153,189
PIT,9,0.55,0.64,0.63,0.65,0.65,0.67,0.73,0.68,0.6,0.6,0.71,0.57,0.71,0.77,0.67,0.56,0.45
PIT,10,4.9,4.2,6.2,6.1,5.6,6,5.3,3.4,4.5,5.7,4.9,7,8,7.3,6.3,5.3,6.3
PIT,11,2,16,3,26,17,18,11,38,37,16,23,0,12,10,0,15,6
PIT,12,75,91,104,119,54,77,95,144,217,102,172,154,65,156,106,198,144
PIT,13,22,22,22,31,17,29,23,24,43,24,36,37,20,45,27,41,37
PIT,14,3.4,4.1,4.7,3.8,3.2,2.7,4.1,6,5,4.3,4.8,4.2,3.3,3.5,3.9,4.8,3.9
PIT,15,0.5,0.5,0.67,1,0,0.67,0.5,0.33,0.4,0.6,0.67,0.33,0.5,1,1,0.33,0.5
PIT,16,59,20,25,55,54,45,40,60,40,70,19,30,15,81,35,43,20
PIT,17,0,2,1,4,2,0,3,2,0,0,0,0,3,0,1,0,1
PIT,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,19,0.44,0.44,0.4,0.5,0.6,0.5,0.55,0.57,0.65,0.47,0.57,0.55,0.45,0.6,0.54,0.57,0.52
CIN,1,32,19,20,16,20,21,29,15,30,22,21,26,23,20,28,15
CIN,2,0.5,0.35,0.5,0.53,0.4,0.6,0.64,0.4,0.6,0.33,0.36,0.64,0.4,0.38,0.5,0.33
CIN,3,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CIN,4,94,67,66,63,59,54,66,50,72,65,66,66,61,62,78,64
CIN,5,432,254,330,371,291,348,537,229,464,408,374,431,363,237,442,257
CIN,6,14,10,12,12,9,10,9,10,11,13,12,8,11,12,12,13
